ID,Class Name,BlockState Properties,BlockState Class Name
bigreactors:blockblutonium,erogenousbeef.bigreactors.common.block.BlockBRMetal,[],net.minecraft.block.state.BlockStateContainer
bigreactors:blockcyanite,erogenousbeef.bigreactors.common.block.BlockBRMetal,[],net.minecraft.block.state.BlockStateContainer
bigreactors:blockgraphite,erogenousbeef.bigreactors.common.block.BlockBRMetal,[],net.minecraft.block.state.BlockStateContainer
bigreactors:blockludicrite,erogenousbeef.bigreactors.common.block.BlockBRMetal,[],net.minecraft.block.state.BlockStateContainer
bigreactors:blocksteel,erogenousbeef.bigreactors.common.block.BlockBRMetal,[],net.minecraft.block.state.BlockStateContainer
bigreactors:blockyellorium,erogenousbeef.bigreactors.common.block.BlockBRMetal,[],net.minecraft.block.state.BlockStateContainer
bigreactors:cyanite,erogenousbeef.bigreactors.common.block.BlockBRGenericFluid,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
bigreactors:oreanglesite,erogenousbeef.bigreactors.common.block.BlockBROre,[],net.minecraft.block.state.BlockStateContainer
bigreactors:orebenitoite,erogenousbeef.bigreactors.common.block.BlockBROre,[],net.minecraft.block.state.BlockStateContainer
bigreactors:oreyellorite,erogenousbeef.bigreactors.common.block.BlockBROre,[],net.minecraft.block.state.BlockStateContainer
bigreactors:reactoraccessport,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockIOPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=portdirection, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PortDirection, values=[inlet, outlet]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorcasing,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockCasing,"[PropertyEnum{name=casing, clazz=class erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockCasing$CasingType, values=[single, wall, frameew, framesn, frameud, corner]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorcomputerport,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockComputerPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorcontroller,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockController,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=controller, clazz=class erogenousbeef.bigreactors.common.multiblock.block.ControllerState, values=[off, idle, active]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorcontrolrod,erogenousbeef.bigreactors.common.multiblock.block.BlockReactorControlRod,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorcoolantport,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockIOPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=portdirection, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PortDirection, values=[inlet, outlet]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorcreativecoolantport,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockIOPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=portdirection, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PortDirection, values=[inlet, outlet]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorfuelrod,erogenousbeef.bigreactors.common.multiblock.block.BlockReactorFuelRod,"[PropertyEnum{name=fuelrodstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.FuelRodState, values=[disassembled, assembledud, assembledew, assembledsn]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorglass,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockGlass,"[PropertyEnum{name=facings, clazz=class it.zerono.mods.zerocore.lib.PropertyBlockFacings, values=[None, All, Face_D, Face_E, Face_N, Face_S, Face_U, Face_W, Angle_DE, Angle_DN, Angle_DS, Angle_DW, Angle_EN, Angle_ES, Angle_EU, Angle_NU, Angle_NW, Angle_SU, Angle_SW, Angle_UW, Opposite_DU, Opposite_EW, Opposite_NS, CShape_DEU, CShape_DEW, CShape_DNS, CShape_DNU, CShape_DSU, CShape_DUW, CShape_ENS, CShape_ENW, CShape_ESW, CShape_EUW, CShape_NSU, CShape_NSW, Corner_DEN, Corner_DES, Corner_DNW, Corner_DSW, Corner_ENU, Corner_ESU, Corner_NUW, Corner_SUW, Misc_DENS, Misc_DENU, Misc_DENW, Misc_DESU, Misc_DESW, Misc_DNSW, Misc_DNUW, Misc_DSUW, Misc_ENSU, Misc_ENUW, Misc_ESUW, Misc_NSUW, Pipe_DEUW, Pipe_DNSU, Pipe_ENSW, PipeEnd_DENSU, PipeEnd_DENSW, PipeEnd_DENUW, PipeEnd_DESUW, PipeEnd_DNSUW, PipeEnd_ENSUW]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorpowertaprf,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockPowerTap,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=powerstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PowerTapState, values=[connected, disconnected]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorpowertaptesla,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockPowerTap,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=powerstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PowerTapState, values=[connected, disconnected]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorrednetport,erogenousbeef.bigreactors.common.multiblock.block.BlockReactorRedNetPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:reactorredstoneport,erogenousbeef.bigreactors.common.multiblock.block.BlockReactorRedstonePort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyBool{name=lit, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinebearing,erogenousbeef.bigreactors.common.multiblock.block.BlockTurbineRotorBearing,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinecomputerport,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockComputerPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinecontroller,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockController,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=controller, clazz=class erogenousbeef.bigreactors.common.multiblock.block.ControllerState, values=[off, idle, active]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinecreativesteamgenerator,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockIOPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=portdirection, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PortDirection, values=[inlet, outlet]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinefluidport,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockIOPort,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=portdirection, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PortDirection, values=[inlet, outlet]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbineglass,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockGlass,"[PropertyEnum{name=facings, clazz=class it.zerono.mods.zerocore.lib.PropertyBlockFacings, values=[None, All, Face_D, Face_E, Face_N, Face_S, Face_U, Face_W, Angle_DE, Angle_DN, Angle_DS, Angle_DW, Angle_EN, Angle_ES, Angle_EU, Angle_NU, Angle_NW, Angle_SU, Angle_SW, Angle_UW, Opposite_DU, Opposite_EW, Opposite_NS, CShape_DEU, CShape_DEW, CShape_DNS, CShape_DNU, CShape_DSU, CShape_DUW, CShape_ENS, CShape_ENW, CShape_ESW, CShape_EUW, CShape_NSU, CShape_NSW, Corner_DEN, Corner_DES, Corner_DNW, Corner_DSW, Corner_ENU, Corner_ESU, Corner_NUW, Corner_SUW, Misc_DENS, Misc_DENU, Misc_DENW, Misc_DESU, Misc_DESW, Misc_DNSW, Misc_DNUW, Misc_DSUW, Misc_ENSU, Misc_ENUW, Misc_ESUW, Misc_NSUW, Pipe_DEUW, Pipe_DNSU, Pipe_ENSW, PipeEnd_DENSU, PipeEnd_DENSW, PipeEnd_DENUW, PipeEnd_DESUW, PipeEnd_DNSUW, PipeEnd_ENSUW]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinehousing,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockCasing,"[PropertyEnum{name=casing, clazz=class erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockCasing$CasingType, values=[single, wall, frameew, framesn, frameud, corner]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinepowertaprf,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockPowerTap,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=powerstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PowerTapState, values=[connected, disconnected]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinepowertaptesla,erogenousbeef.bigreactors.common.multiblock.block.BlockMultiblockPowerTap,"[PropertyEnum{name=afstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.MachinePartState, values=[disassembled, assembleddown, assembledup, assemblednorth, assembledsouth, assembledwest, assembledeast]}, PropertyEnum{name=powerstate, clazz=class erogenousbeef.bigreactors.common.multiblock.block.PowerTapState, values=[connected, disconnected]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinerotorblade,erogenousbeef.bigreactors.common.multiblock.block.BlockTurbineRotorBlade,"[PropertyEnum{name=state, clazz=class erogenousbeef.bigreactors.common.multiblock.RotorBladeState, values=[hidden, y_x_pos, y_x_neg, y_z_pos, y_z_neg, x_y_pos, x_y_neg, x_z_pos, x_z_neg, z_y_pos, z_y_neg, z_x_pos, z_x_neg]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:turbinerotorshaft,erogenousbeef.bigreactors.common.multiblock.block.BlockTurbineRotorShaft,"[PropertyEnum{name=state, clazz=class erogenousbeef.bigreactors.common.multiblock.RotorShaftState, values=[hidden, y_noblades, y_x, y_z, y_xz, x_noblades, x_y, x_z, x_yz, z_noblades, z_y, z_x, z_xy]}]",net.minecraft.block.state.BlockStateContainer
bigreactors:yellorium,erogenousbeef.bigreactors.common.block.BlockBRGenericFluid,"[PropertyInteger{name=level, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]}]",net.minecraftforge.common.property.ExtendedBlockState
bonsaitrees:bonsaipot,org.dave.bonsaitrees.block.BlockBonsaiPot,"[PropertyBool{name=hopping, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
campfire:ash,jsit.campfire.blocks.BlockAshMark,[],net.minecraft.block.state.BlockStateContainer
campfire:campfire,jsit.campfire.blocks.BlockCampfire,[],net.minecraft.block.state.BlockStateContainer
ceramics:channel,knightminer.ceramics.blocks.BlockChannel,"[PropertyBool{name=down, clazz=class java.lang.Boolean, values=[true, false]}, PropertyEnum{name=east, clazz=class knightminer.ceramics.blocks.BlockChannel$ChannelConnectionState, values=[NONE, IN, OUT, BARREL, LEVER]}, PropertyEnum{name=north, clazz=class knightminer.ceramics.blocks.BlockChannel$ChannelConnectionState, values=[NONE, IN, OUT, BARREL, LEVER]}, PropertyEnum{name=south, clazz=class knightminer.ceramics.blocks.BlockChannel$ChannelConnectionState, values=[NONE, IN, OUT, BARREL, LEVER]}, PropertyEnum{name=west, clazz=class knightminer.ceramics.blocks.BlockChannel$ChannelConnectionState, values=[NONE, IN, OUT, BARREL, LEVER]}]",net.minecraft.block.state.BlockStateContainer
ceramics:clay_barrel,knightminer.ceramics.blocks.BlockBarrel,"[PropertyBool{name=extension, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
ceramics:clay_barrel_stained,knightminer.ceramics.blocks.BlockBarrelStained,"[PropertyEnum{name=color, clazz=class knightminer.ceramics.blocks.BlockStained$StainedColor, values=[WHITE, ORANGE, MAGENTA, LIGHT_BLUE, YELLOW, LIME, PINK, GRAY, SILVER, CYAN, PURPLE, BLUE, BROWN, GREEN, RED, BLACK]}]",net.minecraft.block.state.BlockStateContainer
ceramics:clay_barrel_stained_extension,knightminer.ceramics.blocks.BlockBarrelStained,"[PropertyEnum{name=color, clazz=class knightminer.ceramics.blocks.BlockStained$StainedColor, values=[WHITE, ORANGE, MAGENTA, LIGHT_BLUE, YELLOW, LIME, PINK, GRAY, SILVER, CYAN, PURPLE, BLUE, BROWN, GREEN, RED, BLACK]}]",net.minecraft.block.state.BlockStateContainer
