ID,Unlocalized Name,Display Name,Still Texture,Flowing Texture,Overlay Texture,Fill Sound,Empty Sound,Luminosity,Density,Temperature,Viscosity,Is Gaseous,Rarity,Block,Color,Is Lighter than Air,Can be Placed in World
enderiointegrationtic:vibrant_alloy,fluid.vibrant_alloy,Molten Vibrant Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,913,3000,-,COMMON,enderio:block_fluid_vibrant_alloy,#FFB6C870,-,+
enderiointegrationtic:vivid_alloy,fluid.vivid_alloy,Molten Vivid Alloy,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,6,9000,923,3000,-,COMMON,enderio:block_fluid_vivid_alloy,#FF4BBAD6,-,+
industrialforegoing:biofuel,fluid.biofuel,Biofuel,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,600,6000,-,COMMON,industrialforegoing:biofuel,#FF993399,-,+
industrialforegoing:essence,fluid.essence,Essence,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,15,3000,300,6000,-,COMMON,industrialforegoing:essence,#FF408000,-,+
industrialforegoing:if.ore_fluid_fermented,fluid.if.ore_fluid_fermented,Fermented Ore Meat,assets/industrialforegoing/textures/blocks/fluids/ore_fluid_fermented_still.png,assets/industrialforegoing/textures/blocks/fluids/ore_fluid_fermented_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,300,6000,-,COMMON,,#FFFFFFFF,-,-
industrialforegoing:if.ore_fluid_raw,fluid.if.ore_fluid_raw,Raw Ore Meat,assets/industrialforegoing/textures/blocks/fluids/ore_fluid_raw_still.png,assets/industrialforegoing/textures/blocks/fluids/ore_fluid_raw_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,300,6000,-,COMMON,,#FFFFFFFF,-,-
industrialforegoing:if.pink_slime,fluid.if.pink_slime,Pink Slime,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,300,6000,-,COMMON,industrialforegoing:if.pink_slime,#FFFF66CC,-,+
industrialforegoing:if.protein,fluid.if.protein,Protein,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,600,6000,-,COMMON,industrialforegoing:if.protein,#FFFF5050,-,+
industrialforegoing:latex,fluid.latex,Latex,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,375,6000,-,COMMON,industrialforegoing:latex,#FFC2C2A3,-,+
industrialforegoing:meat,fluid.meat,Liquid Meat,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,375,6000,-,COMMON,industrialforegoing:meat,#FF996633,-,+
industrialforegoing:milk,fluid.milk,Milk,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,300,6000,-,COMMON,industrialforegoing:milk,#FFFFFFFF,-,+
industrialforegoing:sewage,fluid.sewage,Sewage,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,3000,300,6000,-,COMMON,industrialforegoing:sewage,#FF993300,-,+
industrialforegoing:sludge,fluid.sludge,Sludge,assets/industrialforegoing/textures/blocks/fluids/base_still.png,assets/industrialforegoing/textures/blocks/fluids/base_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,0,3000,600,6000,-,COMMON,industrialforegoing:sludge,#FF330033,-,+
integrationforegoing:molten_reinforced_pink_slime,fluid.integrationforegoing.molten_reinforced_pink_slime,Molten Reinforced Pink Slime,assets/tconstruct/textures/blocks/fluids/molten_metal.png,assets/tconstruct/textures/blocks/fluids/molten_metal_flow.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,10,2000,1000,10000,-,COMMON,,#FFC279B6,-,-
jaopca:tungsten,fluid.jaopca.molten,Molten Tungsten,assets/jaopca/textures/fluids/molten_still.png,assets/jaopca/textures/fluids/molten_flowing.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,10,2000,500,10000,-,UNCOMMON,jaopca:fluid_moltentungsten,#FF7A8084,-,+
mekanism:brine,fluid.brine,Brine,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFFEEF9C,-,-
mekanism:heavywater,fluid.heavywater,Heavy Water,assets/mekanism/textures/blocks/liquid/liquidheavywater.png,assets/mekanism/textures/blocks/liquid/liquidheavywater.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFFFFFFF,-,-
mekanism:liquidchlorine,fluid.liquidchlorine,Liquid Chlorine,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFCFE800,-,-
mekanism:liquiddeuterium,fluid.liquiddeuterium,Liquid Deuterium,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFFF3232,-,-
mekanism:liquidethene,fluid.liquidethene,Liquid Ethylene,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFEACCF9,-,-
mekanism:liquidfusionfuel,fluid.liquidfusionfuel,Liquid D-T Fuel,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FF7E007D,-,-
mekanism:liquidhydrogen,fluid.liquidhydrogen,Liquid Hydrogen,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFFFFFFF,-,-
mekanism:liquidhydrogenchloride,fluid.liquidhydrogenchloride,Liquid Hydrogen Chloride,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFA8F1E9,-,-
mekanism:liquidlithium,fluid.liquidlithium,Liquid Lithium,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFEBA400,-,-
mekanism:liquidoxygen,fluid.liquidoxygen,Liquid Oxygen,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FF6CE2FF,-,-
mekanism:liquidsodium,fluid.liquidsodium,Liquid Sodium,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFE9FEF4,-,-
mekanism:liquidsulfurdioxide,fluid.liquidsulfurdioxide,Liquid Sulfur Dioxide,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFA99D90,-,-
mekanism:liquidsulfurtrioxide,fluid.liquidsulfurtrioxide,Liquid Sulfur Trioxide,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FFCE6C6C,-,-
mekanism:liquidtritium,fluid.liquidtritium,Liquid Tritium,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FF64FF70,-,-
mekanism:steam,fluid.steam,Steam,assets/mekanism/textures/blocks/liquid/liquidsteam.png,assets/mekanism/textures/blocks/liquid/liquidsteam.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,+,COMMON,railcraft:steam,#FFFFFFFF,-,+
mekanism:sulfuricacid,fluid.sulfuricacid,Sulfuric Acid,assets/mekanism/textures/blocks/liquid/liquid.png,assets/mekanism/textures/blocks/liquid/liquid.png,,minecraft:item.bucket.fill,minecraft:item.bucket.empty,0,1000,300,1000,-,COMMON,,#FF82802B,-,-
metallurgy:adamantine,fluid.adamantine,Molten Adamantine,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_adamantine,#FFA31D1D,-,+
metallurgy:alduorite,fluid.alduorite,Molten Alduorite,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_alduorite,#FF9294BE,-,+
metallurgy:amordrine,fluid.amordrine,Molten Amordrine,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_amordrine,#FF9780CB,-,+
metallurgy:angmallen,fluid.angmallen,Molten Angmallen,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_angmallen,#FFC09844,-,+
metallurgy:astral_silver,fluid.astral_silver,Molten Astral Silver,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_astral_silver,#FFBBD5CF,-,+
metallurgy:atlarus,fluid.atlarus,Molten Atlarus,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_atlarus,#FFDABC23,-,+
metallurgy:black_steel,fluid.black_steel,Molten Black Steel,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_black_steel,#FF2F2F2F,-,+
metallurgy:carmot,fluid.carmot,Molten Carmot,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_carmot,#FFC39C69,-,+
metallurgy:celenegil,fluid.celenegil,Molten Celenegil,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,720,4000,-,COMMON,metallurgy:molten_celenegil,#FF4FD673,-,+
metallurgy:ceruclase,fluid.ceruclase,Molten Ceruclase,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_ceruclase,#FF578A99,-,+
metallurgy:damascus_steel,fluid.damascus_steel,Molten Damascus Steel,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,720,4000,-,COMMON,metallurgy:molten_damascus_steel,#FF75663D,-,+
metallurgy:deep_iron,fluid.deep_iron,Molten Deep Iron,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_deep_iron,#FF2D394F,-,+
metallurgy:desichalkos,fluid.desichalkos,Molten Desichalkos,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_desichalkos,#FF685B9C,-,+
metallurgy:eximite,fluid.eximite,Molten Eximite,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_eximite,#FF5E4191,-,+
metallurgy:haderoth,fluid.haderoth,Molten Haderoth,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,720,4000,-,COMMON,metallurgy:molten_haderoth,#FF351F22,-,+
metallurgy:hepatizon,fluid.hepatizon,Molten Hepatizon,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_hepatizon,#FF51202E,-,+
metallurgy:ignatius,fluid.ignatius,Molten Ignatius,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,2100,4000,-,COMMON,metallurgy:molten_ignatius,#FFD05631,-,+
metallurgy:infuscolium,fluid.infuscolium,Molten Infuscolium,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_infuscolium,#FF6A3359,-,+
metallurgy:inolashite,fluid.inolashite,Molten Inolashite,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,720,4000,-,COMMON,metallurgy:molten_inolashite,#FF476267,-,+
metallurgy:kalendrite,fluid.kalendrite,Molten Kalendrite,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_kalendrite,#FF9941DD,-,+
metallurgy:krik,fluid.krik,Molten Krik,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_krik,#FF415E26,-,+
metallurgy:lemurite,fluid.lemurite,Molten Lemurite,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_lemurite,#FFD0D0D0,-,+
metallurgy:lutetium,fluid.lutetium,Molten Lutetium,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_lutetium,#FF777221,-,+
metallurgy:manganese,fluid.manganese,Molten Manganese,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_manganese,#FFFFAEDF,-,+
metallurgy:meutoite,fluid.meutoite,Molten Meutoite,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_meutoite,#FF332E38,-,+
metallurgy:midasium,fluid.midasium,Molten Midasium,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,360,4000,-,COMMON,metallurgy:molten_midasium,#FFD5862A,-,+
metallurgy:mithril,fluid.mithril,Molten Mithril,assets/metallurgy/textures/blocks/molten_metal_still.png,assets/metallurgy/textures/blocks/molten_metal_flow.png,,minecraft:item.bucket.fill_lava,minecraft:item.bucket.empty_lava,9,800,540,4000,-,COMMON,metallurgy:molten_mithril,#FF6ACBC8,-,+
