ID,Display Text,Title,Description,Icon,X,Y,Background,Frame,Is Hidden,Should Announce,Should Show Toast,Parent,Children,Reward Experience,Reward Loot,Reward Recipes,Reward Function
colossalchests:size/obsidian,§5[§r§5Epic Obsidian Colossal Chest§r§5]§r,Epic Obsidian Colossal Chest§r,Form an obsidian Colossal Chest of at least 10x10x10§r,colossalchests:colossal_chest:6,2.0,3.0,,CHALLENGE,-,+,+,colossalchests:base/obsidian,,0,,,null
colossalchests:size/silver,§5[§r§5Epic Silver Colossal Chest§r§5]§r,Epic Silver Colossal Chest§r,Form a silver Colossal Chest of at least 10x10x10§r,colossalchests:colossal_chest:3,2.0,7.0,,CHALLENGE,-,+,+,colossalchests:base/silver,,0,,,null
colossalchests:size/wood,§5[§r§5Epic Wooden Colossal Chest§r§5]§r,Epic Wooden Colossal Chest§r,Form a wooden Colossal Chest of at least 10x10x10§r,colossalchests:colossal_chest,2.0,6.0,,CHALLENGE,-,+,+,colossalchests:base/wood,,0,,,null
colossalchests:uncolossal,§a[§r§aThe most colossal of 'em all!§r§a]§r,The most colossal of 'em all!§r,Obtain an Uncolossal Chest§r,colossalchests:uncolossal_chest,1.0,2.0,,TASK,-,+,+,colossalchests:root,,0,,,null
culinaryconstruct:craft_food,§a[§r§aSandwich Lover§r§a]§r,Sandwich Lover§r,Craft a sandwich§r,culinaryconstruct:sandwich_station,2.0,2.0,,TASK,-,+,+,minecraft:husbandry/plant_seed,,0,,,null
enderio:gears/g1_wooden_gear,§a[§r§aArboreally Mechanical§r§a]§r,Arboreally Mechanical§r,Craft a Wooden Gear§r,enderio:item_material:9,1.0,5.5,,TASK,-,+,+,enderio:root,enderio:gears/g2_stone_gear,10,,,null
enderio:gears/g2_stone_gear,§a[§r§aGeologically Mechanical§r§a]§r,Geologically Mechanical§r,Craft a Stone Gear§r,enderio:item_material:10,2.0,5.5,,TASK,-,+,+,enderio:gears/g1_wooden_gear,enderio:gears/g3_iron_gear,10,,,null
enderio:gears/g3_iron_gear,§a[§r§aFerrously Mechanical§r§a]§r,Ferrously Mechanical§r,Craft an Iron Gear§r,enderio:item_material:11,3.0,5.5,,TASK,-,+,+,enderio:gears/g2_stone_gear,enderio:gears/g4_energized_gear,20,,,null
enderio:gears/g4_energized_gear,§a[§r§aLuminously Mechanical§r§a]§r,Luminously Mechanical§r,Craft an Energized Bimetal Gear§r,enderio:item_material:12,4.0,5.5,,TASK,-,+,+,enderio:gears/g3_iron_gear,enderio:gears/g5_vibrant_gear,30,,,null
enderio:gears/g5_vibrant_gear,§a[§r§aMystically Mechanical§r§a]§r,Mystically Mechanical§r,Craft a Vibrant Bimetal Gear§r,enderio:item_material:13,5.0,5.5,,TASK,-,+,+,enderio:gears/g4_energized_gear,,40,,,null
enderio:root,§a[§r§aEnder IO Basics§r§a]§r,Ender IO Basics§r,A step closer to infinity§r,enderio:item_enderface:16,0.0,4.1875,assets/minecraft/textures/blocks/bedrock.png,TASK,-,-,+,,"enderio:start/1_infinity_powder_get
enderio:gears/g1_wooden_gear",0,,,null
enderio:start/1_infinity_powder_get,§a[§r§aCollect the Infinite§r§a]§r,Collect the Infinite§r,Light Bedrock on fire and get a reward§r,minecraft:bedrock,1.0,2.875,,TASK,-,+,+,enderio:root,enderio:start/2_simple_chassis_get,20,,,null
enderio:start/2_simple_chassis_get,§a[§r§aThe Third 'S' is Silent§r§a]§r,The Third 'S' is Silent§r,Make your first Machine Chassis§r,enderio:item_material,2.0,2.875,,TASK,-,+,+,enderio:start/1_infinity_powder_get,"enderiomachines:basics/sagmill/1_sagmill_get
enderiomachines:basics/goal/1_all_simple_get
enderiomachines:basics/alloy/1_alloy_smelter_get
enderiomachines:basics/stirling/1_stirling_generator_get",10,,,null
enderioconduits:energy/1_energy_conduit,§a[§r§aBasic Energy§r§a]§r,Basic Energy§r,Craft some Energy Conduits§r,enderio:item_power_conduit,3.0,3.0,,TASK,-,+,+,enderioconduits:start/2_conduit_binder,enderioconduits:energy/2_energy_conduit_enhanced,10,,,null
enderioconduits:energy/2_energy_conduit_enhanced,§a[§r§aEnhanced Energy§r§a]§r,Enhanced Energy§r,Craft some Enhanced Energy Conduits§r,enderio:item_power_conduit:1,4.0,3.0,,TASK,-,+,+,enderioconduits:energy/1_energy_conduit,enderioconduits:energy/3_energy_conduit_ender,20,,,null
enderioconduits:energy/3_energy_conduit_ender,§a[§r§aEnder Energy§r§a]§r,Ender Energy§r,Craft some Ender Energy Conduits§r,enderio:item_power_conduit:2,5.0,3.0,,TASK,-,+,+,enderioconduits:energy/2_energy_conduit_enhanced,,30,,,null
enderioconduits:fluid/1_fluid_conduit,§a[§r§aBasic Fluid§r§a]§r,Basic Fluid§r,Craft some Fluid Conduits§r,enderio:item_liquid_conduit,3.0,0.0,,TASK,-,+,+,enderioconduits:start/2_conduit_binder,enderioconduits:fluid/2_fluid_conduit_pressurized,10,,,null
enderioconduits:fluid/2_fluid_conduit_pressurized,§a[§r§aUnder Pressure§r§a]§r,Under Pressure§r,Craft some Pressurized Fluid Conduits§r,enderio:item_liquid_conduit:1,4.0,0.0,,TASK,-,+,+,enderioconduits:fluid/1_fluid_conduit,enderioconduits:fluid/3_fluid_conduit_ender,20,,,null
enderioconduits:fluid/3_fluid_conduit_ender,"§a[§r§aInstant Fluids, Just Add Ender§r§a]§r","Instant Fluids, Just Add Ender§r",Craft some Ender Fluid Conduits§r,enderio:item_liquid_conduit:2,5.0,0.0,,TASK,-,+,+,enderioconduits:fluid/2_fluid_conduit_pressurized,,30,,,null
enderioconduits:goals/all_conduits,§a[§r§aJack of All Trades§r§a]§r,Jack of All Trades§r,Craft all of the core conduit types§r,enderio:item_item_conduit,3.0,2.0,,GOAL,+,+,+,enderioconduits:start/2_conduit_binder,,30,enderio:reward,,null
enderioconduits:goals/all_filters,§a[§r§aGetting Specific§r§a]§r,Getting Specific§r,Craft all of the core filter types§r,enderio:item_mod_item_filter,4.0,5.5,,GOAL,+,+,+,enderioconduits:item/1_item_conduit,,30,enderio:reward,,null
enderioconduits:item/1_item_conduit,§a[§r§aItem Transfer§r§a]§r,Item Transfer§r,Craft some Item Conduits§r,enderio:item_item_conduit,3.0,5.0,,TASK,-,+,+,enderioconduits:start/2_conduit_binder,"enderioconduits:item/2_basic_filter
enderioconduits:goals/all_filters",20,,,null
enderioconduits:item/2_basic_filter,§a[§r§aFiltering For Dummies§r§a]§r,Filtering For Dummies§r,Craft a Basic Item Filter§r,enderio:item_basic_item_filter,4.0,4.5,,TASK,-,+,+,enderioconduits:item/1_item_conduit,"enderioconduits:item/3_big_filter
enderioconduits:item/3_advanced_filter",10,,,null
enderioconduits:item/3_advanced_filter,§a[§r§aMaximum Control§r§a]§r,Maximum Control§r,Craft an Advanced Item Filter§r,enderio:item_advanced_item_filter,5.0,5.0,,TASK,-,+,+,enderioconduits:item/2_basic_filter,enderioconduits:item/4_big_advanced_filter,20,,,null
enderioconduits:item/3_big_filter,§a[§r§aMaximum Size§r§a]§r,Maximum Size§r,Craft a Big Item Filter§r,enderio:item_big_item_filter,5.0,4.0,,TASK,-,+,+,enderioconduits:item/2_basic_filter,,20,,,null
enderioconduits:item/4_big_advanced_filter,§a[§r§aOne Filter to Rule Them All§r§a]§r,One Filter to Rule Them All§r,Craft a Big Advanced Item Filter§r,enderio:item_big_advanced_item_filter,6.0,5.0,,TASK,-,+,+,enderioconduits:item/3_advanced_filter,,30,,,null
enderioconduits:redstone/1_redstone_conduit,§a[§r§aRedstone Transfer§r§a]§r,Redstone Transfer§r,Craft some Redstone Conduits§r,enderio:item_redstone_conduit,3.0,1.0,,TASK,-,+,+,enderioconduits:start/2_conduit_binder,,10,,,null
enderioconduits:root,§a[§r§aEnder IO Conduits§r§a]§r,Ender IO Conduits§r,How many pipes in one block?§r,enderio:item_enderface:21,0.0,2.5,assets/enderio/textures/blocks/conduit_connector.png,TASK,-,-,+,,enderioconduits:start/1_binder_composite,0,,,null
enderioconduits:start/1_binder_composite,§a[§r§aI Am Not Grout!§r§a]§r,I Am Not Grout!§r,Craft some Binder Composite§r,enderio:item_material:22,1.0,2.5,,TASK,-,+,+,enderioconduits:root,enderioconduits:start/2_conduit_binder,10,,,null
enderioconduits:start/2_conduit_binder,§a[§r§aUniversal Binder§r§a]§r,Universal Binder§r,Smelt some Conduit Binder§r,enderio:item_material:4,2.0,2.5,,TASK,-,+,+,enderioconduits:start/1_binder_composite,"enderioconduits:fluid/1_fluid_conduit
enderioconduits:redstone/1_redstone_conduit
enderioconduits:goals/all_conduits
enderioconduits:energy/1_energy_conduit
enderioconduits:item/1_item_conduit",10,,,null
enderiomachines:basics/alloy/1_alloy_smelter_get,§a[§r§aAlloys and Enemies§r§a]§r,Alloys and Enemies§r,Craft a Simple Alloy Smelter§r,enderio:block_simple_alloy_smelter,3.0,3.5,,TASK,-,+,+,enderio:start/2_simple_chassis_get,enderiomachines:basics/alloy/2_energetic_alloy_get,10,,,null
enderiomachines:basics/alloy/2_energetic_alloy_get,§a[§r§aEnergized Metal§r§a]§r,Energized Metal§r,"Combine gold, redstone, and glowstone§r",enderio:item_alloy_ingot:1,4.0,3.5,,TASK,-,+,+,enderiomachines:basics/alloy/1_alloy_smelter_get,,10,,,null
enderiomachines:basics/alloy/machine_chassis_get,§5[§r§5The Culmination§r§5]§r,The Culmination§r,Craft a Machine Chassis§r,enderio:item_material:1,7.0,1.0,,CHALLENGE,-,+,+,enderiomachines:basics/sagmill/a_powder_coating,,10,enderio:reward,,null
enderiomachines:basics/goal/1_all_simple_get,§a[§r§aStart at the Beginning§r§a]§r,Start at the Beginning§r,Craft all simple machines§r,enderio:block_simple_stirling_generator,3.0,2.375,,GOAL,+,+,+,enderio:start/2_simple_chassis_get,,30,enderio:reward,,null
enderiomachines:basics/sagmill/1_sagmill_get,§a[§r§aSemi-Autogenous Grinding§r§a]§r,Semi-Autogenous Grinding§r,Craft a simple SAG Mill§r,enderio:block_simple_sag_mill,3.0,1.25,,TASK,-,+,+,enderio:start/2_simple_chassis_get,"enderiomachines:basics/sagmill/6_coal
enderiomachines:basics/sagmill/8_blue
enderiomachines:basics/sagmill/2_sagmill_flowers",10,,,null
enderiomachines:basics/sagmill/2_sagmill_flowers,§a[§r§aDestroy Something Beautiful§r§a]§r,Destroy Something Beautiful§r,Grind down some plant matter§r,enderio:item_material:46,4.0,2.5,,TASK,-,+,+,enderiomachines:basics/sagmill/1_sagmill_get,"enderiomachines:basics/sagmill/3_sagmill_bushes
enderiomachines:basics/sagmill/5_green",10,,,null
enderiomachines:basics/sagmill/3_sagmill_bushes,§a[§r§aUseful in Death§r§a]§r,Useful in Death§r,Grind down a dead bush§r,enderio:item_material:47,5.0,2.0,,TASK,-,+,+,enderiomachines:basics/sagmill/2_sagmill_flowers,enderiomachines:basics/sagmill/4_brown,10,,,null
enderiomachines:basics/sagmill/4_brown,§a[§r§aWho Needs Jungles?§r§a]§r,Who Needs Jungles?§r,Combine some twigs and organic matter into dye§r,enderio:item_material:49,6.0,2.0,,TASK,-,+,+,enderiomachines:basics/sagmill/3_sagmill_bushes,,10,,,null
enderiomachines:basics/sagmill/5_green,§a[§r§aCaution: Do Not Eat§r§a]§r,Caution: Do Not Eat§r,Combine some plant matter and animal products into dye§r,enderio:item_material:48,5.0,3.0,,TASK,-,+,+,enderiomachines:basics/sagmill/2_sagmill_flowers,,10,,,null
enderiomachines:basics/sagmill/6_coal,§a[§r§aChewing Dead Wood§r§a]§r,Chewing Dead Wood§r,Grind down some coal§r,minecraft:coal,4.0,0.0,,TASK,-,+,+,enderiomachines:basics/sagmill/1_sagmill_get,enderiomachines:basics/sagmill/7_black,10,,,null
enderiomachines:basics/sagmill/7_black,§a[§r§aWho Needs Squid?§r§a]§r,Who Needs Squid?§r,Combine some coal dust and animal products into dye§r,enderio:item_material:50,5.0,0.0,,TASK,-,+,+,enderiomachines:basics/sagmill/6_coal,,10,,,null
enderiomachines:basics/sagmill/8_blue,§a[§r§aBejeweled§r§a]§r,Bejeweled§r,Grind down some Lapis Lazuli§r,minecraft:dye:4,4.0,1.0,,TASK,-,+,+,enderiomachines:basics/sagmill/1_sagmill_get,enderiomachines:basics/sagmill/9_white,10,,,null
enderiomachines:basics/sagmill/9_white,§a[§r§aBejeweled 2§r§a]§r,Bejeweled 2§r,Grind down some Quartz§r,minecraft:quartz,5.0,1.0,,TASK,-,+,+,enderiomachines:basics/sagmill/8_blue,enderiomachines:basics/sagmill/a_powder_coating,10,,,null
enderiomachines:basics/sagmill/a_powder_coating,§a[§r§aClassic Color§r§a]§r,Classic Color§r,Craft some Organic Machine Powder Coating§r,enderio:item_material:51,6.0,1.0,,TASK,-,+,+,enderiomachines:basics/sagmill/9_white,enderiomachines:basics/alloy/machine_chassis_get,10,,,null
enderiomachines:basics/stirling/1_stirling_generator_get,§a[§r§aHarness the Heat§r§a]§r,Harness the Heat§r,Craft a Simple Stirling Generator§r,enderio:block_simple_stirling_generator,3.0,4.5,,TASK,-,+,+,enderio:start/2_simple_chassis_get,,10,,,null
enderiomachines:root,§a[§r§aEnder IO Machines§r§a]§r,Ender IO Machines§r,Begin your automation adventure§r,enderio:item_enderface:19,0.0,0.0,assets/enderio/textures/blocks/block_machine_bottom.png,TASK,-,-,+,,,0,,,null
minecraft:adventure/adventuring_time,§5[§r§5Adventuring Time§r§5]§r,Adventuring Time§r,Discover every biome§r,minecraft:diamond_boots,2.0,5.0,,CHALLENGE,-,+,+,minecraft:adventure/sleep_in_bed,,500,,,null
minecraft:adventure/kill_a_mob,§a[§r§aMonster Hunter§r§a]§r,Monster Hunter§r,Kill any hostile monster§r,minecraft:iron_sword,1.0,1.0,,TASK,-,+,+,minecraft:adventure/root,"minecraft:adventure/shoot_arrow
minecraft:adventure/kill_all_mobs
minecraft:adventure/totem_of_undying",0,,,null
minecraft:adventure/kill_all_mobs,§5[§r§5Monsters Hunted§r§5]§r,Monsters Hunted§r,Kill one of every hostile monster§r,minecraft:diamond_sword,2.0,1.0,,CHALLENGE,-,+,+,minecraft:adventure/kill_a_mob,,100,,,null
minecraft:adventure/root,§a[§r§aAdventure§r§a]§r,Adventure§r,"Adventure, exploration and combat§r",minecraft:map,0.0,3.0,assets/minecraft/textures/gui/advancements/backgrounds/adventure.png,TASK,-,-,-,,"minecraft:adventure/kill_a_mob
openblocks:tma2
openblocks:oops
minecraft:adventure/trade
minecraft:adventure/sleep_in_bed",0,,,null
minecraft:adventure/shoot_arrow,§a[§r§aTake Aim§r§a]§r,Take Aim§r,Shoot something with a bow and arrow§r,minecraft:bow,2.0,0.0,,TASK,-,+,+,minecraft:adventure/kill_a_mob,minecraft:adventure/sniper_duel,0,,,null
minecraft:adventure/sleep_in_bed,§a[§r§aSweet dreams§r§a]§r,Sweet dreams§r,Change your respawn point§r,minecraft:bed,1.0,5.0,,TASK,-,+,+,minecraft:adventure/root,minecraft:adventure/adventuring_time,0,,,null
minecraft:adventure/sniper_duel,§5[§r§5Sniper duel§r§5]§r,Sniper duel§r,Kill a skeleton with an arrow from more than 50 meters§r,minecraft:arrow,3.0,0.0,,CHALLENGE,-,+,+,minecraft:adventure/shoot_arrow,,50,,,null
minecraft:adventure/summon_iron_golem,§a[§r§aHired Help§r§a]§r,Hired Help§r,Summon an Iron Golem to help defend a village§r,minecraft:pumpkin,2.0,4.0,,GOAL,-,+,+,minecraft:adventure/trade,,0,,,null
minecraft:adventure/totem_of_undying,§a[§r§aPostmortal§r§a]§r,Postmortal§r,Use a Totem of Undying to cheat death§r,minecraft:totem_of_undying,2.0,2.0,,GOAL,-,+,+,minecraft:adventure/kill_a_mob,,0,,,null
minecraft:adventure/trade,§a[§r§aWhat a Deal!§r§a]§r,What a Deal!§r,Successfully trade with a Villager§r,minecraft:emerald,1.0,4.0,,TASK,-,+,+,minecraft:adventure/root,minecraft:adventure/summon_iron_golem,0,,,null
minecraft:end/dragon_breath,§a[§r§aYou Need a Mint§r§a]§r,You Need a Mint§r,Collect dragon's breath in a glass bottle§r,minecraft:dragon_breath,2.0,3.0,,GOAL,-,+,+,minecraft:end/kill_dragon,,0,,,null
minecraft:end/dragon_egg,§a[§r§aThe Next Generation§r§a]§r,The Next Generation§r,Hold the Dragon Egg§r,minecraft:dragon_egg,2.0,0.0,,GOAL,-,+,+,minecraft:end/kill_dragon,,0,,,null
minecraft:end/elytra,§a[§r§aSky's the Limit§r§a]§r,Sky's the Limit§r,Find an Elytra§r,minecraft:elytra,4.0,0.5,,GOAL,-,+,+,minecraft:end/find_end_city,,0,,,null
minecraft:end/enter_end_gateway,§a[§r§aRemote Getaway§r§a]§r,Remote Getaway§r,Escape the island§r,minecraft:ender_pearl,2.0,1.0,,TASK,-,+,+,minecraft:end/kill_dragon,minecraft:end/find_end_city,0,,,null
minecraft:end/find_end_city,§a[§r§aThe City at the End of the Game§r§a]§r,The City at the End of the Game§r,"Go on in, what could happen?§r",minecraft:purpur_block,3.0,1.0,,TASK,-,+,+,minecraft:end/enter_end_gateway,"minecraft:end/elytra
minecraft:end/levitate",0,,,null
minecraft:end/kill_dragon,§a[§r§aFree the End§r§a]§r,Free the End§r,Good luck§r,minecraft:skull:5,1.0,1.5,,TASK,-,+,+,minecraft:end/root,"minecraft:end/dragon_egg
minecraft:end/enter_end_gateway
minecraft:end/respawn_dragon
minecraft:end/dragon_breath",0,,,null
minecraft:end/levitate,§5[§r§5Great View From Up Here§r§5]§r,Great View From Up Here§r,Levitate up 50 blocks from the attacks of a Shulker§r,minecraft:shulker_shell,4.0,1.5,,CHALLENGE,-,+,+,minecraft:end/find_end_city,,50,,,null
minecraft:end/respawn_dragon,§a[§r§aThe End... Again...§r§a]§r,The End... Again...§r,Respawn the ender dragon§r,minecraft:end_crystal,2.0,2.0,,GOAL,-,+,+,minecraft:end/kill_dragon,,0,,,null
minecraft:end/root,§a[§r§aThe End§r§a]§r,The End§r,Or the beginning?§r,minecraft:end_stone,0.0,1.5,assets/minecraft/textures/gui/advancements/backgrounds/end.png,TASK,-,-,-,,minecraft:end/kill_dragon,0,,,null
minecraft:husbandry/balanced_diet,§5[§r§5A Balanced Diet§r§5]§r,A Balanced Diet§r,"Eat everything that is edible, even if it's not good for you§r",minecraft:apple,2.0,1.0,,CHALLENGE,-,+,+,minecraft:husbandry/plant_seed,,100,,,null
minecraft:husbandry/break_diamond_hoe,§5[§r§5Serious Dedication§r§5]§r,Serious Dedication§r,"Completely use up a diamond hoe, and then reevaluate your life choices§r",minecraft:diamond_hoe,2.0,3.0,,CHALLENGE,-,+,+,minecraft:husbandry/plant_seed,,100,,,null
minecraft:husbandry/bred_all_animals,§5[§r§5Two by Two§r§5]§r,Two by Two§r,Breed all the animals!§r,minecraft:golden_carrot,2.0,0.0,,CHALLENGE,-,+,+,minecraft:husbandry/breed_an_animal,,100,,,null
minecraft:husbandry/breed_an_animal,§a[§r§aThe Parrots and the Bats§r§a]§r,The Parrots and the Bats§r,Breed two animals together§r,minecraft:wheat,1.0,0.0,,TASK,-,+,+,minecraft:husbandry/root,minecraft:husbandry/bred_all_animals,0,,,null
minecraft:husbandry/plant_seed,§a[§r§aA Seedy Place§r§a]§r,A Seedy Place§r,Plant a seed and watch it grow§r,minecraft:wheat,1.0,2.0,,TASK,-,+,+,minecraft:husbandry/root,"minecraft:husbandry/balanced_diet
culinaryconstruct:craft_food
minecraft:husbandry/break_diamond_hoe",0,,,null
minecraft:husbandry/root,§a[§r§aHusbandry§r§a]§r,Husbandry§r,The world is full of friends and food§r,minecraft:hay_block,0.0,1.0,assets/minecraft/textures/gui/advancements/backgrounds/husbandry.png,TASK,-,-,-,,"minecraft:husbandry/breed_an_animal
minecraft:husbandry/tame_an_animal
minecraft:husbandry/plant_seed",0,,,null
minecraft:husbandry/tame_an_animal,§a[§r§aBest Friends Forever§r§a]§r,Best Friends Forever§r,Tame an animal§r,minecraft:lead,1.0,1.0,,TASK,-,+,+,minecraft:husbandry/root,,0,,,null
minecraft:nether/all_effects,§5[§r§5How Did We Get Here?§r§5]§r,How Did We Get Here?§r,Have every effect applied at the same time§r,minecraft:bucket,5.0,0.5,,CHALLENGE,+,+,+,minecraft:nether/all_potions,,1000,,,null
minecraft:nether/all_potions,§5[§r§5A Furious Cocktail§r§5]§r,A Furious Cocktail§r,Have every potion effect applied at the same time§r,minecraft:milk_bucket,4.0,0.5,,CHALLENGE,-,+,+,minecraft:nether/brew_potion,minecraft:nether/all_effects,100,,,null
minecraft:nether/brew_potion,§a[§r§aLocal Brewery§r§a]§r,Local Brewery§r,Brew a potion§r,minecraft:potion,3.0,0.5,,TASK,-,+,+,minecraft:nether/obtain_blaze_rod,minecraft:nether/all_potions,0,,,null
minecraft:nether/create_beacon,§a[§r§aBring Home the Beacon§r§a]§r,Bring Home the Beacon§r,Construct and place a Beacon§r,minecraft:beacon,4.0,1.5,,TASK,-,+,+,minecraft:nether/summon_wither,minecraft:nether/create_full_beacon,0,,,null
minecraft:nether/create_full_beacon,§a[§r§aBeaconator§r§a]§r,Beaconator§r,Bring a beacon to full power§r,minecraft:beacon,5.0,1.5,,GOAL,-,+,+,minecraft:nether/create_beacon,,0,,,null
minecraft:nether/fast_travel,§5[§r§5Subspace Bubble§r§5]§r,Subspace Bubble§r,Use the Nether to travel 7km in the Overworld§r,minecraft:map,1.0,0.0,,CHALLENGE,-,+,+,minecraft:nether/root,,100,,,null
minecraft:nether/find_fortress,§a[§r§aA Terrible Fortress§r§a]§r,A Terrible Fortress§r,Break your way into a Nether Fortress§r,minecraft:nether_brick,1.0,1.0,,TASK,-,+,+,minecraft:nether/root,"minecraft:nether/obtain_blaze_rod
minecraft:nether/get_wither_skull",0,,,null
minecraft:nether/get_wither_skull,§a[§r§aSpooky Scary Skeleton§r§a]§r,Spooky Scary Skeleton§r,Obtain a wither skeleton's skull§r,minecraft:skull:1,2.0,1.5,,TASK,-,+,+,minecraft:nether/find_fortress,minecraft:nether/summon_wither,0,,,null
minecraft:nether/obtain_blaze_rod,§a[§r§aInto Fire§r§a]§r,Into Fire§r,Relieve a Blaze of its rod§r,minecraft:blaze_rod,2.0,0.5,,TASK,-,+,+,minecraft:nether/find_fortress,minecraft:nether/brew_potion,0,,,null
minecraft:nether/return_to_sender,§5[§r§5Return to Sender§r§5]§r,Return to Sender§r,Destroy a Ghast with a fireball§r,minecraft:fire_charge,1.0,2.5,,CHALLENGE,-,+,+,minecraft:nether/root,minecraft:nether/uneasy_alliance,50,,,null
minecraft:nether/root,§a[§r§aNether§r§a]§r,Nether§r,Bring summer clothes§r,minecraft:red_nether_brick,0.0,1.25,assets/minecraft/textures/gui/advancements/backgrounds/nether.png,TASK,-,-,-,,"minecraft:nether/fast_travel
minecraft:nether/find_fortress
minecraft:nether/return_to_sender",0,,,null
minecraft:nether/summon_wither,§a[§r§aWithering Heights§r§a]§r,Withering Heights§r,Summon the Wither§r,minecraft:nether_star,3.0,1.5,,TASK,-,+,+,minecraft:nether/get_wither_skull,minecraft:nether/create_beacon,0,,,null
minecraft:nether/uneasy_alliance,§5[§r§5Uneasy Alliance§r§5]§r,Uneasy Alliance§r,"Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it.§r",minecraft:ghast_tear,2.0,2.5,,CHALLENGE,-,+,+,minecraft:nether/return_to_sender,,100,,,null
minecraft:recipes/brewing/blaze_powder,minecraft:recipes/brewing/blaze_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blaze_powder,null
