ID,Group,Input Pattern,Input Ingredients,Output Item,Width,Height
bdsandm:crate_key_c,bdsandm:bdsm,"AA
A-
B-","A: ore:ingotIron
B: bdsandm:wood_crate:* {crateCap:{maxCap:1024,objColors:[I;-1,-1],oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",bdsandm:crate_key,2,3
bdsandm:crate_key_b,bdsandm:bdsm,"AA
A-
B-","A: ore:ingotIron
B: bdsandm:wood_barrel:* {barrelCap:{maxCap:1024,objColors:[I;-1,-1,-1,-1],refFluid:{},oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",bdsandm:crate_key,2,3
bdsandm:metal_barrel,bdsandm:bdsm,"AAA
ABA
AAA","A: ore:ingotIron
B: bdsandm:wood_barrel:* {barrelCap:{maxCap:1024,objColors:[I;-1,-1,-1,-1],refFluid:{},oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}","bdsandm:metal_barrel {barrelCap:{maxCap:32768,objColors:[I;-1,-1,-1,-1],refFluid:{},oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",3,3
bdsandm:metal_crate,bdsandm:bdsm,"AAA
ABA
AAA","A: ore:ingotIron
B: bdsandm:wood_crate:* {crateCap:{maxCap:1024,objColors:[I;-1,-1],oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}","bdsandm:metal_crate {crateCap:{maxCap:32768,objColors:[I;-1,-1],oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",3,3
bdsandm:shipping_c,bdsandm:bdsm,"AAA
BCB
AAA","A: ore:blockIron
B: minecraft:iron_bars
C: bdsandm:metal_crate:* {crateCap:{maxCap:32768,objColors:[I;-1,-1],oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",bdsandm:shipping_container,3,3
bdsandm:shipping_b,bdsandm:bdsm,"AAA
BCB
AAA","A: ore:blockIron
B: minecraft:iron_bars
C: bdsandm:metal_barrel:* {barrelCap:{maxCap:32768,objColors:[I;-1,-1,-1,-1],refFluid:{},oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",bdsandm:shipping_container,3,3
bdsandm:wood_barrel,bdsandm:bdsm,"AAA
ABA
AAA","A: ore:plankWood
B: minecraft:bucket","bdsandm:wood_barrel {barrelCap:{maxCap:1024,objColors:[I;-1,-1,-1,-1],refFluid:{},oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",3,3
bdsandm:wood_crate,bdsandm:bdsm,"AAA
ABA
AAA","A: ore:plankWood
B: minecraft:item_frame","bdsandm:wood_crate {crateCap:{maxCap:1024,objColors:[I;-1,-1],oreDict:0b,overflow:0b,refStack:{id:""minecraft:air"",Count:1b,Damage:0s},count:0,locked:0b,stackCap:64}}",3,3
bedrockores:bedrock_miner,,"ABA
CDC
EFE","A: ore:ingotIron
B: minecraft:dropper
C: ore:blockRedstone
D: minecraft:piston
E: ore:obsidian
F: ore:gemDiamond",bedrockores:bedrock_miner,3,3
bibliocraft:oak_armorstand,bibliocraft,"-A-
-A-
BBB","A: minecraft:stick
B: minecraft:wooden_slab",bibliocraft:armorstand,3,3
bibliocraft:spruce_armorstand,bibliocraft,"-A-
-A-
BBB","A: minecraft:stick
B: minecraft:wooden_slab:1",bibliocraft:armorstand:1,3,3
bibliocraft:birch_armorstand,bibliocraft,"-A-
-A-
BBB","A: minecraft:stick
B: minecraft:wooden_slab:2",bibliocraft:armorstand:2,3,3
bibliocraft:jungle_armorstand,bibliocraft,"-A-
-A-
BBB","A: minecraft:stick
B: minecraft:wooden_slab:3",bibliocraft:armorstand:3,3,3
bibliocraft:acacia_armorstand,bibliocraft,"-A-
-A-
BBB","A: minecraft:stick
B: minecraft:wooden_slab:4",bibliocraft:armorstand:4,3,3
bibliocraft:darkoak_armorstand,bibliocraft,"-A-
-A-
BBB","A: minecraft:stick
B: minecraft:wooden_slab:5",bibliocraft:armorstand:5,3,3
bibliocraft:framed_armorstand,bibliocraft,"-A-
-A-
BBB","A: minecraft:stick
B: bibliocraft:framingboard",bibliocraft:armorstand:6,3,3
bibliocraft:atlasbook,bibliocraft,"ABA
ACA
ADA","A: minecraft:paper
B: bibliocraft:maptool
C: bibliocraft:slottedbook
D: minecraft:map",bibliocraft:atlasbook,3,3
bibliocraft:enchantedatlas,bibliocraft:enchantedatlas,"ABA
CDC
ABA","A: minecraft:ender_pearl
B: minecraft:enchanted_book
C: bibliocraft:compass
D: bibliocraft:atlasbook","bibliocraft:atlasbook {ench:[{lvl:1,id:25}]}",3,3
bibliocraft:enchantedatlasalt,bibliocraft:enchantedatlas,"ABA
CDC
ABA","A: minecraft:ender_pearl
B: bibliocraft:compass
C: minecraft:enchanted_book
D: bibliocraft:atlasbook","bibliocraft:atlasbook {ench:[{lvl:1,id:25}]}",3,3
bibliocraft:bell,bibliocraft,"-A-
-B-
BCB","A: minecraft:stone_button
B: minecraft:iron_ingot
C: minecraft:redstone",bibliocraft:bell,3,3
bibliocraft:bibliochase,bibliocraft,"-A-
ABA
-A-","A: minecraft:wooden_slab | minecraft:wooden_slab:1 | minecraft:wooden_slab:2 | minecraft:wooden_slab:3 | minecraft:wooden_slab:4 | minecraft:wooden_slab:5 | bibliocraft:framingboard
B: minecraft:iron_ingot",bibliocraft:bibliochase,3,3
bibliocraft:biblioclipboard,bibliocraft,"A-B
CCC
-D-","A: minecraft:dye
B: minecraft:feather
C: minecraft:paper
D: minecraft:wooden_pressure_plate",bibliocraft:biblioclipboard,3,3
bibliocraft:bibliodrill,bibliocraft,"ABB
-CB
--D","A: minecraft:iron_ingot
B: minecraft:stained_hardened_clay:1
C: minecraft:stone_button
D: minecraft:redstone_block",bibliocraft:bibliodrill,3,3
bibliocraft:reading_glasses,bibliocraft,"ABA
C-C","A: minecraft:glass_pane
B: minecraft:iron_ingot
C: minecraft:dye",bibliocraft:biblioglasses,3,2
bibliocraft:monocle,bibliocraft,"-A-
ABA
-A-","A: minecraft:gold_nugget
B: minecraft:glass_pane",bibliocraft:biblioglasses:2,3,3
bibliocraft:bigbook,bibliocraft,"AAA
ABA
AAA","A: minecraft:paper
B: minecraft:writable_book",bibliocraft:bigbook,3,3
bibliocraft:oak_bookcase,bibliocraft,"ABA
ABA
ABA","A: minecraft:planks
B: minecraft:wooden_slab",bibliocraft:bookcase,3,3
bibliocraft:spruce_bookcase,bibliocraft,"ABA
ABA
ABA","A: minecraft:planks:1
B: minecraft:wooden_slab:1",bibliocraft:bookcase:1,3,3
bibliocraft:birch_bookcase,bibliocraft,"ABA
ABA
ABA","A: minecraft:planks:2
B: minecraft:wooden_slab:2",bibliocraft:bookcase:2,3,3
bibliocraft:jungle_bookcase,bibliocraft,"ABA
ABA
ABA","A: minecraft:planks:3
B: minecraft:wooden_slab:3",bibliocraft:bookcase:3,3,3
bibliocraft:acacia_bookcase,bibliocraft,"ABA
ABA
ABA","A: minecraft:planks:4
B: minecraft:wooden_slab:4",bibliocraft:bookcase:4,3,3
bibliocraft:darkoak_bookcase,bibliocraft,"ABA
ABA
ABA","A: minecraft:planks:5
B: minecraft:wooden_slab:5",bibliocraft:bookcase:5,3,3
bibliocraft:framed_bookcase,bibliocraft,"ABA
ABA
ABA","A: bibliocraft:framingsheet
B: bibliocraft:framingboard",bibliocraft:bookcase:6,3,3
bibliocraft:oak_case,bibliocraft,"ABA
ACA
AAA","A: minecraft:wooden_slab
B: minecraft:glass
C: minecraft:wool",bibliocraft:case,3,3
bibliocraft:spruce_case,bibliocraft,"ABA
ACA
AAA","A: minecraft:wooden_slab:1
B: minecraft:glass
C: minecraft:wool",bibliocraft:case:1,3,3
bibliocraft:birch_case,bibliocraft,"ABA
ACA
AAA","A: minecraft:wooden_slab:2
B: minecraft:glass
C: minecraft:wool",bibliocraft:case:2,3,3
bibliocraft:jungle_case,bibliocraft,"ABA
ACA
AAA","A: minecraft:wooden_slab:3
B: minecraft:glass
C: minecraft:wool",bibliocraft:case:3,3,3
bibliocraft:acacia_case,bibliocraft,"ABA
ACA
AAA","A: minecraft:wooden_slab:4
B: minecraft:glass
C: minecraft:wool",bibliocraft:case:4,3,3
bibliocraft:darkoak_case,bibliocraft,"ABA
ACA
AAA","A: minecraft:wooden_slab:5
B: minecraft:glass
C: minecraft:wool",bibliocraft:case:5,3,3
bibliocraft:framed_case,bibliocraft,"ABA
ACA
AAA","A: bibliocraft:framingboard
B: minecraft:glass
C: minecraft:wool",bibliocraft:case:6,3,3
bibliocraft:oak_clock,bibliocraft,"ABA
ACA
ADA","A: minecraft:wooden_slab
B: minecraft:clock
C: minecraft:stick
D: minecraft:gold_ingot",bibliocraft:clock,3,3
bibliocraft:spruce_clock,bibliocraft,"ABA
ACA
ADA","A: minecraft:wooden_slab:1
B: minecraft:clock
C: minecraft:stick
D: minecraft:gold_ingot",bibliocraft:clock:1,3,3
bibliocraft:birch_clock,bibliocraft,"ABA
ACA
ADA","A: minecraft:wooden_slab:2
B: minecraft:clock
C: minecraft:stick
D: minecraft:gold_ingot",bibliocraft:clock:2,3,3
bibliocraft:jungle_clock,bibliocraft,"ABA
ACA
ADA","A: minecraft:wooden_slab:3
B: minecraft:clock
C: minecraft:stick
D: minecraft:gold_ingot",bibliocraft:clock:3,3,3
bibliocraft:acacia_clock,bibliocraft,"ABA
ACA
ADA","A: minecraft:wooden_slab:4
B: minecraft:clock
C: minecraft:stick
D: minecraft:gold_ingot",bibliocraft:clock:4,3,3
bibliocraft:darkoak_clock,bibliocraft,"ABA
ACA
ADA","A: minecraft:wooden_slab:5
B: minecraft:clock
C: minecraft:stick
D: minecraft:gold_ingot",bibliocraft:clock:5,3,3
bibliocraft:framed_clock,bibliocraft,"ABA
ACA
ADA","A: bibliocraft:framingboard
B: minecraft:clock
C: minecraft:stick
D: minecraft:gold_ingot",bibliocraft:clock:6,3,3
bibliocraft:compass,bibliocraft,"-A-
ABA
-A-","A: minecraft:gold_ingot
B: minecraft:compass",bibliocraft:compass,3,3
bibliocraft:cookiejar,bibliocraft,"-A-
BCB
BDB","A: minecraft:iron_ingot
B: minecraft:glass_pane
C: minecraft:cookie
D: minecraft:redstone",bibliocraft:cookiejar,3,3
bibliocraft:oak_desk,bibliocraft,"A-B
CCC
D-D","A: minecraft:torch
B: minecraft:feather
C: minecraft:wooden_slab
D: minecraft:planks",bibliocraft:desk,3,3
bibliocraft:spruce_desk,bibliocraft,"A-B
CCC
D-D","A: minecraft:torch
B: minecraft:feather
C: minecraft:wooden_slab:1
D: minecraft:planks:1",bibliocraft:desk:1,3,3
bibliocraft:birch_desk,bibliocraft,"A-B
CCC
D-D","A: minecraft:torch
B: minecraft:feather
C: minecraft:wooden_slab:2
D: minecraft:planks:2",bibliocraft:desk:2,3,3
bibliocraft:jungle_desk,bibliocraft,"A-B
CCC
D-D","A: minecraft:torch
B: minecraft:feather
C: minecraft:wooden_slab:3
D: minecraft:planks:3",bibliocraft:desk:3,3,3
bibliocraft:acacia_desk,bibliocraft,"A-B
CCC
D-D","A: minecraft:torch
B: minecraft:feather
C: minecraft:wooden_slab:4
D: minecraft:planks:4",bibliocraft:desk:4,3,3
bibliocraft:darkoak_desk,bibliocraft,"A-B
CCC
D-D","A: minecraft:torch
B: minecraft:feather
C: minecraft:wooden_slab:5
D: minecraft:planks:5",bibliocraft:desk:5,3,3
bibliocraft:framed_desk,bibliocraft,"A-B
CCC
D-D","A: minecraft:torch
B: minecraft:feather
C: bibliocraft:framingboard
D: bibliocraft:framingsheet",bibliocraft:desk:6,3,3
bibliocraft:dinnerplate,bibliocraft,AAA,A: minecraft:stone_slab:7,bibliocraft:dinnerplate,3,1
bibliocraft:discrack,bibliocraft,"AAA
BBB","A: minecraft:stick
B: ore:slabWood",bibliocraft:discrack,3,2
bibliocraft:oak_fancyworkbench,bibliocraft,"ABC
DED
DDD","A: minecraft:feather
B: minecraft:crafting_table
C: minecraft:dye
D: minecraft:wooden_slab
E: bibliocraft:bookcase",bibliocraft:fancyworkbench,3,3
bibliocraft:spruce_fancyworkbench,bibliocraft,"ABC
DED
DDD","A: minecraft:feather
B: minecraft:crafting_table
C: minecraft:dye
D: minecraft:wooden_slab:1
E: bibliocraft:bookcase:1",bibliocraft:fancyworkbench:1,3,3
bibliocraft:birch_fancyworkbench,bibliocraft,"ABC
DED
DDD","A: minecraft:feather
B: minecraft:crafting_table
C: minecraft:dye
D: minecraft:wooden_slab:2
E: bibliocraft:bookcase:2",bibliocraft:fancyworkbench:2,3,3
bibliocraft:jungle_fancyworkbench,bibliocraft,"ABC
DED
DDD","A: minecraft:feather
B: minecraft:crafting_table
C: minecraft:dye
D: minecraft:wooden_slab:3
E: bibliocraft:bookcase:3",bibliocraft:fancyworkbench:3,3,3
bibliocraft:acacia_fancyworkbench,bibliocraft,"ABC
DED
DDD","A: minecraft:feather
B: minecraft:crafting_table
C: minecraft:dye
D: minecraft:wooden_slab:4
E: bibliocraft:bookcase:4",bibliocraft:fancyworkbench:4,3,3
bibliocraft:darkoak_fancyworkbench,bibliocraft,"ABC
DED
DDD","A: minecraft:feather
B: minecraft:crafting_table
C: minecraft:dye
D: minecraft:wooden_slab:5
E: bibliocraft:bookcase:5",bibliocraft:fancyworkbench:5,3,3
bibliocraft:framed_fancyworkbench,bibliocraft,"ABC
DED
DDD","A: minecraft:feather
B: minecraft:crafting_table
C: minecraft:dye
D: bibliocraft:framingboard
E: bibliocraft:bookcase:6",bibliocraft:fancyworkbench:6,3,3
bibliocraft:oak_framedchest,bibliocraft,"AAA
ABA
AAA","A: minecraft:planks
B: bibliocraft:label",bibliocraft:framedchest,3,3
bibliocraft:spruce_framedchest,bibliocraft,"AAA
ABA
AAA","A: minecraft:planks:1
B: bibliocraft:label:1",bibliocraft:framedchest:1,3,3
bibliocraft:birch_framedchest,bibliocraft,"AAA
ABA
AAA","A: minecraft:planks:2
B: bibliocraft:label:2",bibliocraft:framedchest:2,3,3
bibliocraft:jungle_framedchest,bibliocraft,"AAA
ABA
AAA","A: minecraft:planks:3
B: bibliocraft:label:3",bibliocraft:framedchest:3,3,3
bibliocraft:acacia_framedchest,bibliocraft,"AAA
ABA
AAA","A: minecraft:planks:4
B: bibliocraft:label:4",bibliocraft:framedchest:4,3,3
bibliocraft:darkoak_framedchest,bibliocraft,"AAA
ABA
AAA","A: minecraft:planks:5
B: bibliocraft:label:5",bibliocraft:framedchest:5,3,3
bibliocraft:framed_framedchest,bibliocraft,"AAA
ABA
AAA","A: bibliocraft:framingsheet
B: bibliocraft:label:6",bibliocraft:framedchest:6,3,3
bibliocraft:framingsaw,bibliocraft,"AA-
-AB
--B","A: minecraft:iron_ingot
B: minecraft:planks | minecraft:planks:1 | minecraft:planks:2 | minecraft:planks:3 | minecraft:planks:4 | minecraft:planks:5 | bibliocraft:framingsheet",bibliocraft:framingsaw,3,3
bibliocraft:oak_furniturepaneler,bibliocraft,"ABA
CCC
DDD","A: minecraft:iron_ingot
B: bibliocraft:framingsaw
C: minecraft:wooden_slab
D: minecraft:planks",bibliocraft:furniturepaneler,3,3
bibliocraft:spruce_furniturepaneler,bibliocraft,"ABA
CCC
DDD","A: minecraft:iron_ingot
B: bibliocraft:framingsaw
C: minecraft:wooden_slab:1
D: minecraft:planks:1",bibliocraft:furniturepaneler:1,3,3
bibliocraft:birch_furniturepaneler,bibliocraft,"ABA
CCC
DDD","A: minecraft:iron_ingot
B: bibliocraft:framingsaw
C: minecraft:wooden_slab:2
D: minecraft:planks:2",bibliocraft:furniturepaneler:2,3,3
bibliocraft:jungle_furniturepaneler,bibliocraft,"ABA
CCC
DDD","A: minecraft:iron_ingot
B: bibliocraft:framingsaw
C: minecraft:wooden_slab:3
D: minecraft:planks:3",bibliocraft:furniturepaneler:3,3,3
bibliocraft:acacia_furniturepaneler,bibliocraft,"ABA
CCC
DDD","A: minecraft:iron_ingot
B: bibliocraft:framingsaw
C: minecraft:wooden_slab:4
D: minecraft:planks:4",bibliocraft:furniturepaneler:4,3,3
bibliocraft:darkoak_furniturepaneler,bibliocraft,"ABA
CCC
DDD","A: minecraft:iron_ingot
B: bibliocraft:framingsaw
C: minecraft:wooden_slab:5
D: minecraft:planks:5",bibliocraft:furniturepaneler:5,3,3
bibliocraft:framed_furniturepaneler,bibliocraft,"ABA
CCC
DDD","A: minecraft:iron_ingot
B: bibliocraft:framingsaw
C: bibliocraft:framingboard
D: bibliocraft:framingsheet",bibliocraft:furniturepaneler:6,3,3
bibliocraft:handdrill,bibliocraft,"A-B
-C-","A: minecraft:iron_ingot
B: minecraft:wooden_button
C: minecraft:stick",bibliocraft:handdrill,3,2
bibliocraft:oak_label,bibliocraft,"AAA
AAA",A: minecraft:wooden_slab,bibliocraft:label,3,2
bibliocraft:spruce_label,bibliocraft,"AAA
AAA",A: minecraft:wooden_slab:1,bibliocraft:label:1,3,2
bibliocraft:birch_label,bibliocraft,"AAA
AAA",A: minecraft:wooden_slab:2,bibliocraft:label:2,3,2
bibliocraft:jungle_label,bibliocraft,"AAA
AAA",A: minecraft:wooden_slab:3,bibliocraft:label:3,3,2
bibliocraft:acacia_label,bibliocraft,"AAA
AAA",A: minecraft:wooden_slab:4,bibliocraft:label:4,3,2
bibliocraft:darkoak_label,bibliocraft,"AAA
AAA",A: minecraft:wooden_slab:5,bibliocraft:label:5,3,2
bibliocraft:framed_label,bibliocraft,"AAA
AAA",A: bibliocraft:framingboard,bibliocraft:label:6,3,2
bibliocraft:white_lampgold,bibliocraft,"ABA
-C-
DCD","A: minecraft:glass
B: minecraft:glowstone
C: minecraft:gold_ingot
D: minecraft:gold_nugget",bibliocraft:lampgold,3,3
bibliocraft:white_lampiron,bibliocraft,"ABA
-C-
DCD","A: minecraft:glass
B: minecraft:glowstone
C: minecraft:iron_ingot
D: minecraft:iron_nugget",bibliocraft:lampiron,3,3
bibliocraft:white_lanterngold,bibliocraft,"ABA
CDC
ABA","A: minecraft:glass_pane
B: minecraft:glowstone_dust
C: minecraft:gold_ingot
D: minecraft:torch",bibliocraft:lanterngold,3,3
bibliocraft:white_lanterniron,bibliocraft,"ABA
CDC
ABA","A: minecraft:glass_pane
B: minecraft:glowstone_dust
C: minecraft:iron_ingot
D: minecraft:torch",bibliocraft:lanterniron,3,3
bibliocraft:oak_mapframe,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: minecraft:wooden_slab",bibliocraft:mapframe,3,3
bibliocraft:spruce_mapframe,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: minecraft:wooden_slab:1",bibliocraft:mapframe:1,3,3
bibliocraft:birch_mapframe,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: minecraft:wooden_slab:2",bibliocraft:mapframe:2,3,3
bibliocraft:jungle_mapframe,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: minecraft:wooden_slab:3",bibliocraft:mapframe:3,3,3
bibliocraft:acacia_mapframe,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: minecraft:wooden_slab:4",bibliocraft:mapframe:4,3,3
bibliocraft:darkoak_mapframe,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: minecraft:wooden_slab:5",bibliocraft:mapframe:5,3,3
bibliocraft:framed_mapframe,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:framingboard",bibliocraft:mapframe:6,3,3
bibliocraft:maptool,bibliocraft,"-A-
A-A
B-B","A: minecraft:iron_ingot
B: minecraft:stick",bibliocraft:maptool,3,3
bibliocraft:paintingcanvas,bibliocraft,"ABA
BCB
ABA","A: minecraft:stick
B: minecraft:string
C: minecraft:wool",bibliocraft:paintingcanvas,3,3
bibliocraft:oak_paintingframeborderless,bibliocraft,"ABA
BBB
ABA","A: minecraft:stick
B: minecraft:wooden_slab",bibliocraft:paintingframeborderless,3,3
bibliocraft:spruce_paintingframeborderless,bibliocraft,"ABA
BBB
ABA","A: minecraft:stick
B: minecraft:wooden_slab:1",bibliocraft:paintingframeborderless:1,3,3
bibliocraft:birch_paintingframeborderless,bibliocraft,"ABA
BBB
ABA","A: minecraft:stick
B: minecraft:wooden_slab:2",bibliocraft:paintingframeborderless:2,3,3
bibliocraft:jungle_paintingframeborderless,bibliocraft,"ABA
BBB
ABA","A: minecraft:stick
B: minecraft:wooden_slab:3",bibliocraft:paintingframeborderless:3,3,3
bibliocraft:acacia_paintingframeborderless,bibliocraft,"ABA
BBB
ABA","A: minecraft:stick
B: minecraft:wooden_slab:4",bibliocraft:paintingframeborderless:4,3,3
bibliocraft:darkoak_paintingframeborderless,bibliocraft,"ABA
BBB
ABA","A: minecraft:stick
B: minecraft:wooden_slab:5",bibliocraft:paintingframeborderless:5,3,3
bibliocraft:framed_paintingframeborderless,bibliocraft,"ABA
BBB
ABA","A: minecraft:stick
B: bibliocraft:framingboard",bibliocraft:paintingframeborderless:6,3,3
bibliocraft:oak_paintingframefancy,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:paintingframeborderless",bibliocraft:paintingframefancy,3,3
bibliocraft:spruce_paintingframefancy,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:paintingframeborderless:1",bibliocraft:paintingframefancy:1,3,3
bibliocraft:birch_paintingframefancy,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:paintingframeborderless:2",bibliocraft:paintingframefancy:2,3,3
bibliocraft:jungle_paintingframefancy,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:paintingframeborderless:3",bibliocraft:paintingframefancy:3,3,3
bibliocraft:acacia_paintingframefancy,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:paintingframeborderless:4",bibliocraft:paintingframefancy:4,3,3
bibliocraft:darkoak_paintingframefancy,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:paintingframeborderless:5",bibliocraft:paintingframefancy:5,3,3
bibliocraft:framed_paintingframefancy,bibliocraft,"AAA
ABA
AAA","A: minecraft:stick
B: bibliocraft:paintingframeborderless:6",bibliocraft:paintingframefancy:6,3,3
bibliocraft:oak_paintingframeflat,bibliocraft,"AAA
ABA
AAA","A: minecraft:wooden_slab
B: bibliocraft:paintingframeborderless",bibliocraft:paintingframeflat,3,3
bibliocraft:spruce_paintingframeflat,bibliocraft,"AAA
ABA
AAA","A: minecraft:wooden_slab:1
B: bibliocraft:paintingframeborderless:1",bibliocraft:paintingframeflat:1,3,3
bibliocraft:birch_paintingframeflat,bibliocraft,"AAA
ABA
AAA","A: minecraft:wooden_slab:2
B: bibliocraft:paintingframeborderless:2",bibliocraft:paintingframeflat:2,3,3
bibliocraft:jungle_paintingframeflat,bibliocraft,"AAA
ABA
AAA","A: minecraft:wooden_slab:3
B: bibliocraft:paintingframeborderless:3",bibliocraft:paintingframeflat:3,3,3
bibliocraft:acacia_paintingframeflat,bibliocraft,"AAA
ABA
AAA","A: minecraft:wooden_slab:4
B: bibliocraft:paintingframeborderless:4",bibliocraft:paintingframeflat:4,3,3
bibliocraft:darkoak_paintingframeflat,bibliocraft,"AAA
ABA
AAA","A: minecraft:wooden_slab:5
B: bibliocraft:paintingframeborderless:5",bibliocraft:paintingframeflat:5,3,3
bibliocraft:framed_paintingframeflat,bibliocraft,"AAA
ABA
AAA","A: bibliocraft:framingboard
B: bibliocraft:paintingframeborderless:6",bibliocraft:paintingframeflat:6,3,3
bibliocraft:oak_paintingframemiddle,bibliocraft,"ABA
ACA
ABA","A: minecraft:stick
B: minecraft:wooden_slab
C: bibliocraft:paintingframeborderless",bibliocraft:paintingframemiddle,3,3
bibliocraft:spruce_paintingframemiddle,bibliocraft,"ABA
ACA
ABA","A: minecraft:stick
B: minecraft:wooden_slab:1
C: bibliocraft:paintingframeborderless:1",bibliocraft:paintingframemiddle:1,3,3
bibliocraft:birch_paintingframemiddle,bibliocraft,"ABA
ACA
ABA","A: minecraft:stick
B: minecraft:wooden_slab:2
C: bibliocraft:paintingframeborderless:2",bibliocraft:paintingframemiddle:2,3,3
bibliocraft:jungle_paintingframemiddle,bibliocraft,"ABA
ACA
ABA","A: minecraft:stick
B: minecraft:wooden_slab:3
C: bibliocraft:paintingframeborderless:3",bibliocraft:paintingframemiddle:3,3,3
bibliocraft:acacia_paintingframemiddle,bibliocraft,"ABA
ACA
ABA","A: minecraft:stick
B: minecraft:wooden_slab:4
C: bibliocraft:paintingframeborderless:4",bibliocraft:paintingframemiddle:4,3,3
bibliocraft:darkoak_paintingframemiddle,bibliocraft,"ABA
ACA
ABA","A: minecraft:stick
B: minecraft:wooden_slab:5
C: bibliocraft:paintingframeborderless:5",bibliocraft:paintingframemiddle:5,3,3
bibliocraft:framed_paintingframemiddle,bibliocraft,"ABA
ACA
ABA","A: minecraft:stick
B: bibliocraft:framingboard
C: bibliocraft:paintingframeborderless:6",bibliocraft:paintingframemiddle:6,3,3
bibliocraft:oak_paintingframesimple,bibliocraft,"ABA
BCB
ABA","A: minecraft:stick
B: minecraft:wooden_slab
C: bibliocraft:paintingframeborderless",bibliocraft:paintingframesimple,3,3
