ID,Group,Input Ingredients,Output Item
nuclearcraft:item.avaritia:infinity_chestplate_2,nuclearcraft:item.avaritia:infinity_chestplate_2,"avaritia:infinity_chestplate
nuclearcraft:rad_shielding:2",avaritia:infinity_chestplate {ncRadiationResistance:1.0d}
nuclearcraft:item.avaritia:infinity_helmet,nuclearcraft:item.avaritia:infinity_helmet,"avaritia:infinity_helmet
nuclearcraft:rad_shielding",avaritia:infinity_helmet {ncRadiationResistance:0.01d}
nuclearcraft:item.avaritia:infinity_helmet_1,nuclearcraft:item.avaritia:infinity_helmet_1,"avaritia:infinity_helmet
nuclearcraft:rad_shielding:1",avaritia:infinity_helmet {ncRadiationResistance:0.1d}
nuclearcraft:item.avaritia:infinity_helmet_2,nuclearcraft:item.avaritia:infinity_helmet_2,"avaritia:infinity_helmet
nuclearcraft:rad_shielding:2",avaritia:infinity_helmet {ncRadiationResistance:1.0d}
nuclearcraft:item.avaritia:infinity_pants,nuclearcraft:item.avaritia:infinity_pants,"avaritia:infinity_pants
nuclearcraft:rad_shielding",avaritia:infinity_pants {ncRadiationResistance:0.01d}
nuclearcraft:item.avaritia:infinity_pants_1,nuclearcraft:item.avaritia:infinity_pants_1,"avaritia:infinity_pants
nuclearcraft:rad_shielding:1",avaritia:infinity_pants {ncRadiationResistance:0.1d}
nuclearcraft:item.avaritia:infinity_pants_2,nuclearcraft:item.avaritia:infinity_pants_2,"avaritia:infinity_pants
nuclearcraft:rad_shielding:2",avaritia:infinity_pants {ncRadiationResistance:1.0d}
avaritia:blocks/resource/un_crystal_matrix_block,,avaritia:block_resource:2,avaritia:resource:1 x9
avaritia:items/resource/un_neutron_nugget,,avaritia:resource:3,avaritia:resource:2 x9
avaritia:items/resource/un_neutronium_ingot,,avaritia:resource:4,avaritia:resource:3 x9
avaritia:blocks/resource/un_neutronium_block,,avaritia:block_resource,avaritia:resource:4 x9
avaritia:blocks/resource/un_infinity_block,,avaritia:block_resource:1,avaritia:resource:6 x9
avaritia:items/record_fragment,,ore:record,avaritia:resource:7 x8
bdsandm:upgrade_64,bdsandm:bdsm,"minecraft:item_frame
minecraft:chest
minecraft:iron_ingot",bdsandm:upgrade x4
bdsandm:upgrade_64_split,bdsandm:bdsm,bdsandm:upgrade:1,bdsandm:upgrade x4
bdsandm:upgrade_256,bdsandm:bdsm,"bdsandm:upgrade
bdsandm:upgrade
bdsandm:upgrade
bdsandm:upgrade",bdsandm:upgrade:1
bdsandm:upgrade_256_split,bdsandm:bdsm,bdsandm:upgrade:2,bdsandm:upgrade:1 x4
bdsandm:upgrade_1024,bdsandm:bdsm,"bdsandm:upgrade:1
bdsandm:upgrade:1
bdsandm:upgrade:1
bdsandm:upgrade:1",bdsandm:upgrade:2
bdsandm:upgrade_1024_split,bdsandm:bdsm,bdsandm:upgrade:3,bdsandm:upgrade:2 x4
bdsandm:upgrade_4096,bdsandm:bdsm,"bdsandm:upgrade:2
bdsandm:upgrade:2
bdsandm:upgrade:2
bdsandm:upgrade:2",bdsandm:upgrade:3
bdsandm:upgrade_ore_dict,bdsandm:bdsm,"minecraft:item_frame
minecraft:chest
minecraft:iron_ore",bdsandm:upgrade:5
bdsandm:upgrade_void,bdsandm:bdsm,"minecraft:item_frame
minecraft:chest
minecraft:ender_pearl",bdsandm:upgrade:6
bdsandm:upgrade_uninstall,bdsandm:bdsm,"minecraft:item_frame
minecraft:chest",bdsandm:upgrade:7
bibliocraft:tinted_glasses,bibliocraft,"bibliocraft:biblioglasses
minecraft:dye:8",bibliocraft:biblioglasses:1
bibliocraft:biblioredbook,bibliocraft,"minecraft:redstone_torch
minecraft:book","bibliocraft:biblioredbook {redstonebook:""by James Maxwell""}"
bibliocraft:oak_fancysign,bibliocraft,"bibliocraft:label
minecraft:sign
minecraft:paper",bibliocraft:fancysign
bibliocraft:spruce_fancysign,bibliocraft,"bibliocraft:label:1
minecraft:sign
minecraft:paper",bibliocraft:fancysign:1
bibliocraft:birch_fancysign,bibliocraft,"bibliocraft:label:2
minecraft:sign
minecraft:paper",bibliocraft:fancysign:2
bibliocraft:jungle_fancysign,bibliocraft,"bibliocraft:label:3
minecraft:sign
minecraft:paper",bibliocraft:fancysign:3
bibliocraft:acacia_fancysign,bibliocraft,"bibliocraft:label:4
minecraft:sign
minecraft:paper",bibliocraft:fancysign:4
bibliocraft:darkoak_fancysign,bibliocraft,"bibliocraft:label:5
minecraft:sign
minecraft:paper",bibliocraft:fancysign:5
bibliocraft:framed_fancysign,bibliocraft,"bibliocraft:label:6
minecraft:sign
minecraft:paper",bibliocraft:fancysign:6
bibliocraft:framingboard,bibliocraft,"bibliocraft:framingsheet
bibliocraft:framingsaw",bibliocraft:framingboard x2
bibliocraft:framingsheet,bibliocraft,"minecraft:planks | minecraft:planks:1 | minecraft:planks:2 | minecraft:planks:3 | minecraft:planks:4 | minecraft:planks:5
bibliocraft:framingsaw",bibliocraft:framingsheet x2
bibliocraft:white_dyed_lampgold,bibliocraft,"minecraft:dye:15
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold
bibliocraft:lightgray_dyed_lampgold,bibliocraft,"minecraft:dye:7
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:1
bibliocraft:lightblue_dyed_lampgold,bibliocraft,"minecraft:dye:12
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:10
bibliocraft:blue_dyed_lampgold,bibliocraft,"minecraft:dye:4
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:11
bibliocraft:purple_dyed_lampgold,bibliocraft,"minecraft:dye:5
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:12
bibliocraft:magenta_dyed_lampgold,bibliocraft,"minecraft:dye:13
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:13
bibliocraft:pink_dyed_lampgold,bibliocraft,"minecraft:dye:9
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:14
bibliocraft:brown_dyed_lampgold,bibliocraft,"minecraft:dye:3
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:15
bibliocraft:gray_dyed_lampgold,bibliocraft,"minecraft:dye:8
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:2
bibliocraft:black_dyed_lampgold,bibliocraft,"minecraft:dye
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:3
bibliocraft:red_dyed_lampgold,bibliocraft,"minecraft:dye:1
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:4
bibliocraft:orange_dyed_lampgold,bibliocraft,"minecraft:dye:14
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:5
bibliocraft:yellow_dyed_lampgold,bibliocraft,"minecraft:dye:11
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:6
bibliocraft:lime_dyed_lampgold,bibliocraft,"minecraft:dye:10
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:7
bibliocraft:green_dyed_lampgold,bibliocraft,"minecraft:dye:2
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:8
bibliocraft:cyan_dyed_lampgold,bibliocraft,"minecraft:dye:6
bibliocraft:lampgold | bibliocraft:lampgold:1 | bibliocraft:lampgold:2 | bibliocraft:lampgold:3 | bibliocraft:lampgold:4 | bibliocraft:lampgold:5 | bibliocraft:lampgold:6 | bibliocraft:lampgold:7 | bibliocraft:lampgold:8 | bibliocraft:lampgold:9 | bibliocraft:lampgold:10 | bibliocraft:lampgold:11 | bibliocraft:lampgold:12 | bibliocraft:lampgold:14 | bibliocraft:lampgold:15",bibliocraft:lampgold:9
bibliocraft:white_dyed_lampiron,bibliocraft,"minecraft:dye:15
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron
bibliocraft:lightgray_dyed_lampiron,bibliocraft,"minecraft:dye:7
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:1
bibliocraft:lightblue_dyed_lampiron,bibliocraft,"minecraft:dye:12
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:10
bibliocraft:blue_dyed_lampiron,bibliocraft,"minecraft:dye:4
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:11
bibliocraft:purple_dyed_lampiron,bibliocraft,"minecraft:dye:5
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:12
bibliocraft:magenta_dyed_lampiron,bibliocraft,"minecraft:dye:13
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:13
bibliocraft:pink_dyed_lampiron,bibliocraft,"minecraft:dye:9
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:14
bibliocraft:brown_dyed_lampiron,bibliocraft,"minecraft:dye:3
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:15
bibliocraft:gray_dyed_lampiron,bibliocraft,"minecraft:dye:8
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:2
bibliocraft:black_dyed_lampiron,bibliocraft,"minecraft:dye
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:3
bibliocraft:red_dyed_lampiron,bibliocraft,"minecraft:dye:1
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:4
bibliocraft:orange_dyed_lampiron,bibliocraft,"minecraft:dye:14
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:5
bibliocraft:yellow_dyed_lampiron,bibliocraft,"minecraft:dye:11
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:6
bibliocraft:lime_dyed_lampiron,bibliocraft,"minecraft:dye:10
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:7
bibliocraft:green_dyed_lampiron,bibliocraft,"minecraft:dye:2
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:8
bibliocraft:cyan_dyed_lampiron,bibliocraft,"minecraft:dye:6
bibliocraft:lampiron | bibliocraft:lampiron:1 | bibliocraft:lampiron:2 | bibliocraft:lampiron:3 | bibliocraft:lampiron:4 | bibliocraft:lampiron:5 | bibliocraft:lampiron:6 | bibliocraft:lampiron:7 | bibliocraft:lampiron:8 | bibliocraft:lampiron:9 | bibliocraft:lampiron:10 | bibliocraft:lampiron:11 | bibliocraft:lampiron:12 | bibliocraft:lampiron:14 | bibliocraft:lampiron:15",bibliocraft:lampiron:9
bibliocraft:white_dyed_lanterngold,bibliocraft,"minecraft:dye:15
bibliocraft:lanterngold | bibliocraft:lanterngold:1 | bibliocraft:lanterngold:2 | bibliocraft:lanterngold:3 | bibliocraft:lanterngold:4 | bibliocraft:lanterngold:5 | bibliocraft:lanterngold:6 | bibliocraft:lanterngold:7 | bibliocraft:lanterngold:8 | bibliocraft:lanterngold:9 | bibliocraft:lanterngold:10 | bibliocraft:lanterngold:11 | bibliocraft:lanterngold:12 | bibliocraft:lanterngold:14 | bibliocraft:lanterngold:15",bibliocraft:lanterngold
bibliocraft:lightgray_dyed_lanterngold,bibliocraft,"minecraft:dye:7
bibliocraft:lanterngold | bibliocraft:lanterngold:1 | bibliocraft:lanterngold:2 | bibliocraft:lanterngold:3 | bibliocraft:lanterngold:4 | bibliocraft:lanterngold:5 | bibliocraft:lanterngold:6 | bibliocraft:lanterngold:7 | bibliocraft:lanterngold:8 | bibliocraft:lanterngold:9 | bibliocraft:lanterngold:10 | bibliocraft:lanterngold:11 | bibliocraft:lanterngold:12 | bibliocraft:lanterngold:14 | bibliocraft:lanterngold:15",bibliocraft:lanterngold:1
bibliocraft:lightblue_dyed_lanterngold,bibliocraft,"minecraft:dye:12
bibliocraft:lanterngold | bibliocraft:lanterngold:1 | bibliocraft:lanterngold:2 | bibliocraft:lanterngold:3 | bibliocraft:lanterngold:4 | bibliocraft:lanterngold:5 | bibliocraft:lanterngold:6 | bibliocraft:lanterngold:7 | bibliocraft:lanterngold:8 | bibliocraft:lanterngold:9 | bibliocraft:lanterngold:10 | bibliocraft:lanterngold:11 | bibliocraft:lanterngold:12 | bibliocraft:lanterngold:14 | bibliocraft:lanterngold:15",bibliocraft:lanterngold:10
bibliocraft:blue_dyed_lanterngold,bibliocraft,"minecraft:dye:4
bibliocraft:lanterngold | bibliocraft:lanterngold:1 | bibliocraft:lanterngold:2 | bibliocraft:lanterngold:3 | bibliocraft:lanterngold:4 | bibliocraft:lanterngold:5 | bibliocraft:lanterngold:6 | bibliocraft:lanterngold:7 | bibliocraft:lanterngold:8 | bibliocraft:lanterngold:9 | bibliocraft:lanterngold:10 | bibliocraft:lanterngold:11 | bibliocraft:lanterngold:12 | bibliocraft:lanterngold:14 | bibliocraft:lanterngold:15",bibliocraft:lanterngold:11
